,plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity,domain,site,collectDate,shannon_diversity
32,SERC_047,-76.560193,38.885634,2015,321,3.77,0.374,13.1,1072.0,84.41,13.0,16,Mid Atlantic,SERC,2015-11-17,1.6185439003035926
33,SERC_047,-76.560193,38.885634,2015,321,5.32,0.772,13.1,1072.0,84.41,13.0,12,Mid Atlantic,SERC,2015-11-17,1.7831010102113074
34,SERC_047,-76.560193,38.885634,2015,321,3.87,0.529,13.1,1072.0,84.41,13.0,16,Mid Atlantic,SERC,2015-11-17,1.1660251280040745
35,SERC_003,-76.543752,38.899871999999995,2015,321,4.62,0.215,13.1,1072.0,84.41,13.0,3,Mid Atlantic,SERC,2015-11-17,0.8401642599819115
36,SERC_003,-76.543752,38.899871999999995,2015,321,5.03,0.22,13.1,1072.0,84.41,13.0,5,Mid Atlantic,SERC,2015-11-17,0.71818484611993
37,JERC_002,-84.460062,31.194504,2016,208,5.13,,19.3,1326.0,62.92,23.0,12,Southeast,JERC,2016-07-26,1.5244665740151198
38,JERC_005,-84.451228,31.195968,2016,208,4.82,,19.3,1326.0,62.92,23.0,8,Southeast,JERC,2016-07-26,0.617141302490049
39,JERC_047,-84.467178,31.198433,2016,209,5.1,,19.3,1326.0,62.92,23.0,7,Southeast,JERC,2016-07-27,1.4729837079741177
40,STEI_005,-90.08621099999999,45.826444,2016,118,4.85,0.344,4.148387097,810.8951613,111.0433871,44.25,11,Great Lakes,STEI,2016-04-27,1.2372102357381596
41,STEI_005,-90.08621099999999,45.826444,2016,118,4.38,0.508,4.148387097,810.8951613,111.0433871,44.25,13,Great Lakes,STEI,2016-04-27,1.9723851012916624
42,STEI_001,-90.092743,45.812246,2016,118,4.94,0.862,4.148387097,810.8951613,111.0433871,44.25,12,Great Lakes,STEI,2016-04-27,1.24335423830257
43,STEI_005,-90.08621099999999,45.826444,2016,202,5.04,0.255,4.148387097,810.8951613,111.0433871,44.25,10,Great Lakes,STEI,2016-07-20,1.6175433338951961
44,STEI_001,-90.092743,45.812246,2016,202,4.97,0.28600000000000003,4.148387097,810.8951613,111.0433871,44.25,17,Great Lakes,STEI,2016-07-20,1.9157758615297134
45,STEI_001,-90.092743,45.812246,2016,202,4.66,0.295,4.148387097,810.8951613,111.0433871,44.25,11,Great Lakes,STEI,2016-07-20,1.5779847747132256
46,STEI_047,-89.588573,45.506178000000006,2016,202,4.36,0.265,4.148387097,810.8951613,111.0433871,44.25,7,Great Lakes,STEI,2016-07-20,0.5565392228790326
47,STEI_047,-89.588573,45.506178000000006,2016,202,4.46,0.179,4.148387097,810.8951613,111.0433871,44.25,16,Great Lakes,STEI,2016-07-20,1.8883678634975682
48,STEI_053,-89.58739399999999,45.505660999999996,2016,203,4.06,0.551,4.148387097,810.8951613,111.0433871,44.25,13,Great Lakes,STEI,2016-07-21,1.0420531291320083
49,STEI_060,-89.58706,45.506757,2016,208,4.13,1.825,4.148387097,810.8951613,111.0433871,44.25,15,Great Lakes,STEI,2016-07-26,0.719326119637387
50,HARV_013,-72.254598,42.392282,2016,68,3.29,1.492,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,12,Northeast,HARV,2016-03-08,1.408211509643511
51,HARV_013,-72.254598,42.392282,2016,68,3.62,1.495,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,12,Northeast,HARV,2016-03-08,0.8750528089623282
52,HARV_020,-72.22887800000001,42.436766999999996,2016,68,4.71,1.97,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,6,Northeast,HARV,2016-03-08,1.3567547453802944
53,HARV_033,-72.175607,42.538302,2016,69,2.98,1.851,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,15,Northeast,HARV,2016-03-09,0.8196773969940305
54,HARV_033,-72.175607,42.538302,2016,69,2.56,5.12,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,15,Northeast,HARV,2016-03-09,2.160774055255361
55,HARV_037,-72.179312,42.537308,2016,69,2.51,3.4,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,14,Northeast,HARV,2016-03-09,0.8517827249051715
56,HARV_034,-72.177968,42.535686,2016,70,2.58,1.775,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,19,Northeast,HARV,2016-03-10,1.225896100248321
57,HARV_035,-72.178072,42.539966,2016,74,2.93,1.626,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,17,Northeast,HARV,2016-03-14,1.357809051426417
58,HARV_033,-72.175607,42.538302,2016,215,2.74,2.458,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,11,Northeast,HARV,2016-08-02,1.9815200406748597
59,HARV_037,-72.179312,42.537308,2016,215,2.62,1.315,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,13,Northeast,HARV,2016-08-02,1.5592550434983237
